episode,avg_reward,win_rate,avg_steps,avg_time_per_step,policy_loss,critic_loss
1000,0.25,0.625,500.5,2.5353634883192573,-0.06608113,0.6903424
1000,0.256,0.628,500.5,2.0920066028365127,-0.037794832,0.6755218
10000,0.746,0.873,9500.5,0.02151203134461912,-183.55763,0.3694707
10000,0.746,0.873,9500.5,0.02151203134461912,-183.55763,0.3694707
